ix,iy,count,n_genera,n_observers,n_captive,last_observed,median_last10_observed
-1408003,772788,1,1,1,0,2019-07-08,2019-07-08
-1408002,772661,1,1,1,0,2016-05-10,2016-05-10
-1408002,772790,1,1,1,0,2019-07-07,2019-07-07
-1408002,772791,1,1,1,1,2019-07-07,2019-07-07
-1408002,772795,1,1,1,1,2019-04-29,2019-04-29
-1408000,773813,1,1,1,1,2016-04-01,2016-04-01
-1407999,772658,1,1,1,0,2018-06-08,2018-06-08
-1407996,772718,1,1,1,0,2019-06-03,2019-06-03
-1407993,772718,1,1,1,0,2019-06-02,2019-06-02
-1407991,772525,1,1,1,0,2018-05-08,2018-05-08
-1407987,772448,1,1,1,1,2016-05-20,2016-05-20
-1407986,772507,1,1,1,0,2018-05-08,2018-05-08
-1407985,772663,1,1,1,0,2018-06-08,2018-06-08
-1407981,772702,1,1,1,0,2019-05-19,2019-05-19
-1407980,772788,1,1,1,0,2019-07-07,2019-07-07
-1407979,772657,1,1,1,0,2016-05-10,2016-05-10
-1407979,772660,1,1,1,0,2018-04-28,2018-04-28
-1407978,772756,1,1,1,1,2019-05-24,2019-05-24
-1407977,773446,1,1,1,1,2017-08-01,2017-08-01
-1407975,772628,1,1,1,0,2018-04-28,2018-04-28
-1407975,772657,1,1,1,0,2018-04-28,2018-04-28
-1407974,772622,1,1,1,0,2019-05-25,2019-05-25
-1407974,773807,1,1,1,0,2018-09-24,2018-09-24
-1407972,772683,1,1,1,0,2019-04-27,2019-04-27
-1407971,772664,1,1,1,0,2016-05-10,2016-05-10
-1407970,772608,1,1,1,0,2019-06-08,2019-06-08
-1407970,772611,1,1,1,0,2019-06-15,2019-06-15
-1407970,772651,1,1,1,0,2018-06-08,2018-06-08
-1407968,772607,1,1,1,0,2018-08-01,2018-08-01
-1407967,772603,1,1,1,0,2018-09-25,2018-09-25
-1407965,772650,1,1,1,0,2016-05-10,2016-05-10
-1407965,774526,1,1,1,0,2019-04-27,2019-04-27
-1407964,772638,1,1,1,0,2017-08-18,2017-08-18
-1407963,772667,1,1,1,0,2019-06-03,2019-06-03
-1407962,771941,1,1,1,0,2018-07-30,2018-07-30
-1407961,772522,1,1,1,0,2018-05-14,2018-05-14
-1407960,772521,1,1,1,0,2018-05-04,2018-05-04
-1407959,772519,1,1,1,0,2017-06-28,2017-06-28
-1407959,772661,1,1,1,0,2019-06-23,2019-06-23
-1407958,771085,1,1,1,0,2018-10-23,2018-10-23
-1407958,771435,1,1,1,0,2017-02-12,2017-02-12
-1407958,772600,1,1,1,0,2019-05-25,2019-05-25
-1407958,772655,1,1,1,0,2018-06-02,2018-06-02
-1407957,772521,1,1,1,0,2018-05-04,2018-05-04
-1407957,772528,1,1,1,0,2018-05-14,2018-05-14
-1407957,772582,1,1,1,0,2019-05-25,2019-05-25
-1407956,772611,1,1,1,0,2018-08-07,2018-08-07
-1407955,772585,1,1,1,0,2019-05-25,2019-05-25
-1407955,772659,1,1,1,0,2018-10-07,2018-10-07
-1407955,772718,1,1,1,0,2019-06-16,2019-06-16
-1407953,772643,2,1,1,0,2019-04-28,2019-04-28
-1407953,772694,1,1,1,0,2019-06-16,2019-06-16
-1407953,772763,1,1,1,1,2019-05-20,2019-05-20
-1407952,772522,1,1,1,0,2018-05-06,2018-05-06
-1407952,772674,1,1,1,0,2016-05-10,2016-05-10
-1407951,772654,1,1,1,0,2016-05-10,2016-05-10
-1407950,772540,1,1,1,0,2019-06-04,2019-06-04
-1407950,773340,1,1,1,0,2016-05-20,2016-05-20
-1407949,772653,1,1,1,0,2016-05-10,2016-05-10
-1407943,772766,1,1,1,1,2019-07-10,2019-07-10
-1407940,772809,1,1,1,1,2019-07-04,2019-07-04
-1407940,772827,1,1,1,1,2019-07-04,2019-07-04
-1407939,771225,1,1,1,0,2016-07-12,2016-07-12
-1407938,772650,1,1,1,0,2018-03-15,2018-03-15
-1407937,772815,1,1,1,0,2018-05-29,2018-05-29
-1407936,772680,1,1,1,0,2019-03-27,2019-03-27
-1407935,772460,1,1,1,0,2019-03-27,2019-03-27
-1407934,772819,1,1,1,1,2019-07-04,2019-07-04
-1407931,773103,1,1,1,1,2016-08-10,2016-08-10
-1407930,772557,1,1,1,0,2018-05-19,2018-05-19
-1407929,772595,1,1,1,0,2019-06-23,2019-06-23
-1407928,772727,1,1,1,0,2019-06-11,2019-06-11
-1407927,772725,1,1,1,0,2019-06-11,2019-06-11
-1407927,773363,1,1,1,1,2018-06-28,2018-06-28
-1407922,772901,1,1,1,1,2019-07-13,2019-07-13
-1407921,771351,1,1,1,0,2018-11-03,2018-11-03
-1407921,772673,1,1,1,0,2019-04-16,2019-04-16
-1407921,772675,1,1,1,0,2019-04-16,2019-04-16
-1407920,772688,1,1,1,0,2019-02-14,2019-02-14
-1407919,772671,1,1,1,0,2019-04-16,2019-04-16
-1407919,772688,1,1,1,0,2017-12-18,2017-12-18
-1407918,772574,1,1,1,0,2019-05-05,2019-05-05
-1407915,772697,1,1,1,0,2019-04-16,2019-04-16
-1407914,772716,1,1,1,0,2019-06-12,2019-06-12
-1407909,771097,1,1,1,0,2016-07-29,2016-07-29
-1407909,772707,1,1,1,0,2019-04-16,2019-04-16
-1407907,772553,1,1,1,0,2019-06-19,2019-06-19
-1407907,772712,1,1,1,0,2018-10-06,2018-10-06
-1407905,772851,1,1,1,0,2018-05-29,2018-05-29
-1407902,772850,1,1,1,0,2018-05-29,2018-05-29
-1407898,772534,1,1,1,0,2019-06-23,2019-06-23
